"","rn","1","variable","estimate"
"372","Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Vehicle.StylePassenger Van",0,"Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Vehicle.StylePassenger Van",0
"373","Engine.Fuel.Typenatural gas:Vehicle.StylePassenger Van",0,"Engine.Fuel.Typenatural gas:Vehicle.StylePassenger Van",0
"374","Engine.Fuel.Typepremium unleaded (recommended):Vehicle.StylePassenger Van",0.0166067742412428,"Engine.Fuel.Typepremium unleaded (recommended):Vehicle.StylePassenger Van",0.0166067742412428
"375","Engine.Fuel.Typepremium unleaded (required):Vehicle.StylePassenger Van",0,"Engine.Fuel.Typepremium unleaded (required):Vehicle.StylePassenger Van",0
"376","Engine.Fuel.Typeregular unleaded:Vehicle.StylePassenger Van",0,"Engine.Fuel.Typeregular unleaded:Vehicle.StylePassenger Van",0
"377","Engine.Fuel.Typediesel:Vehicle.StyleRegular Cab Pickup",0,"Engine.Fuel.Typediesel:Vehicle.StyleRegular Cab Pickup",0
"378","Engine.Fuel.Typeelectric:Vehicle.StyleRegular Cab Pickup",0,"Engine.Fuel.Typeelectric:Vehicle.StyleRegular Cab Pickup",0
"379","Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Vehicle.StyleRegular Cab Pickup",0,"Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Vehicle.StyleRegular Cab Pickup",0
"380","Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Vehicle.StyleRegular Cab Pickup",0,"Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Vehicle.StyleRegular Cab Pickup",0
"381","Engine.Fuel.Typeflex-fuel (unleaded/E85):Vehicle.StyleRegular Cab Pickup",0,"Engine.Fuel.Typeflex-fuel (unleaded/E85):Vehicle.StyleRegular Cab Pickup",0
"382","Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Vehicle.StyleRegular Cab Pickup",0,"Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Vehicle.StyleRegular Cab Pickup",0
"383","Engine.Fuel.Typenatural gas:Vehicle.StyleRegular Cab Pickup",0,"Engine.Fuel.Typenatural gas:Vehicle.StyleRegular Cab Pickup",0
"384","Engine.Fuel.Typepremium unleaded (recommended):Vehicle.StyleRegular Cab Pickup",0,"Engine.Fuel.Typepremium unleaded (recommended):Vehicle.StyleRegular Cab Pickup",0
"385","Engine.Fuel.Typepremium unleaded (required):Vehicle.StyleRegular Cab Pickup",0,"Engine.Fuel.Typepremium unleaded (required):Vehicle.StyleRegular Cab Pickup",0
"386","Engine.Fuel.Typeregular unleaded:Vehicle.StyleRegular Cab Pickup",0,"Engine.Fuel.Typeregular unleaded:Vehicle.StyleRegular Cab Pickup",0
"387","Engine.Fuel.Typediesel:Vehicle.StyleSedan",0.0398381892349684,"Engine.Fuel.Typediesel:Vehicle.StyleSedan",0.0398381892349684
"388","Engine.Fuel.Typeelectric:Vehicle.StyleSedan",0,"Engine.Fuel.Typeelectric:Vehicle.StyleSedan",0
"389","Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Vehicle.StyleSedan",-0.0252734578584661,"Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Vehicle.StyleSedan",-0.0252734578584661
"390","Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Vehicle.StyleSedan",0,"Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Vehicle.StyleSedan",0
"391","Engine.Fuel.Typeflex-fuel (unleaded/E85):Vehicle.StyleSedan",-0.0379998237118064,"Engine.Fuel.Typeflex-fuel (unleaded/E85):Vehicle.StyleSedan",-0.0379998237118064
"392","Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Vehicle.StyleSedan",-6.78931257128483e-06,"Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Vehicle.StyleSedan",-6.78931257128483e-06
"393","Engine.Fuel.Typenatural gas:Vehicle.StyleSedan",0,"Engine.Fuel.Typenatural gas:Vehicle.StyleSedan",0
"394","Engine.Fuel.Typepremium unleaded (recommended):Vehicle.StyleSedan",0,"Engine.Fuel.Typepremium unleaded (recommended):Vehicle.StyleSedan",0
"395","Engine.Fuel.Typepremium unleaded (required):Vehicle.StyleSedan",0.0322295647942759,"Engine.Fuel.Typepremium unleaded (required):Vehicle.StyleSedan",0.0322295647942759
"396","Engine.Fuel.Typeregular unleaded:Vehicle.StyleSedan",-0.0407659949584481,"Engine.Fuel.Typeregular unleaded:Vehicle.StyleSedan",-0.0407659949584481
"397","Engine.Fuel.Typediesel:Vehicle.StyleWagon",0,"Engine.Fuel.Typediesel:Vehicle.StyleWagon",0
"398","Engine.Fuel.Typeelectric:Vehicle.StyleWagon",0,"Engine.Fuel.Typeelectric:Vehicle.StyleWagon",0
"399","Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Vehicle.StyleWagon",0,"Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Vehicle.StyleWagon",0
"400","Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Vehicle.StyleWagon",0,"Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Vehicle.StyleWagon",0
"401","Engine.Fuel.Typeflex-fuel (unleaded/E85):Vehicle.StyleWagon",0,"Engine.Fuel.Typeflex-fuel (unleaded/E85):Vehicle.StyleWagon",0
"402","Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Vehicle.StyleWagon",0,"Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Vehicle.StyleWagon",0
"403","Engine.Fuel.Typenatural gas:Vehicle.StyleWagon",0,"Engine.Fuel.Typenatural gas:Vehicle.StyleWagon",0
"404","Engine.Fuel.Typepremium unleaded (recommended):Vehicle.StyleWagon",0,"Engine.Fuel.Typepremium unleaded (recommended):Vehicle.StyleWagon",0
"405","Engine.Fuel.Typepremium unleaded (required):Vehicle.StyleWagon",0.0392584332752075,"Engine.Fuel.Typepremium unleaded (required):Vehicle.StyleWagon",0.0392584332752075
"406","Engine.Fuel.Typeregular unleaded:Vehicle.StyleWagon",-0.00294583040681704,"Engine.Fuel.Typeregular unleaded:Vehicle.StyleWagon",-0.00294583040681704
"407","Engine.Fuel.Typediesel:highway.MPG",0,"Engine.Fuel.Typediesel:highway.MPG",0
"408","Engine.Fuel.Typeelectric:highway.MPG",0,"Engine.Fuel.Typeelectric:highway.MPG",0
"409","Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):highway.MPG",0,"Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):highway.MPG",0
"410","Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):highway.MPG",0.00470407757929328,"Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):highway.MPG",0.00470407757929328
"411","Engine.Fuel.Typeflex-fuel (unleaded/E85):highway.MPG",0,"Engine.Fuel.Typeflex-fuel (unleaded/E85):highway.MPG",0
"412","Engine.Fuel.Typeflex-fuel (unleaded/natural gas):highway.MPG",0,"Engine.Fuel.Typeflex-fuel (unleaded/natural gas):highway.MPG",0
"413","Engine.Fuel.Typenatural gas:highway.MPG",0,"Engine.Fuel.Typenatural gas:highway.MPG",0
"414","Engine.Fuel.Typepremium unleaded (recommended):highway.MPG",0,"Engine.Fuel.Typepremium unleaded (recommended):highway.MPG",0
"415","Engine.Fuel.Typepremium unleaded (required):highway.MPG",0,"Engine.Fuel.Typepremium unleaded (required):highway.MPG",0
"416","Engine.Fuel.Typeregular unleaded:highway.MPG",-0.00331804952841203,"Engine.Fuel.Typeregular unleaded:highway.MPG",-0.00331804952841203
"417","Engine.Fuel.Typediesel:city.mpg",0,"Engine.Fuel.Typediesel:city.mpg",0
"418","Engine.Fuel.Typeelectric:city.mpg",0,"Engine.Fuel.Typeelectric:city.mpg",0
"419","Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):city.mpg",0,"Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):city.mpg",0
"420","Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):city.mpg",9.93119662024506e-05,"Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):city.mpg",9.93119662024506e-05
"421","Engine.Fuel.Typeflex-fuel (unleaded/E85):city.mpg",0,"Engine.Fuel.Typeflex-fuel (unleaded/E85):city.mpg",0
"422","Engine.Fuel.Typeflex-fuel (unleaded/natural gas):city.mpg",-5.64820037758696e-07,"Engine.Fuel.Typeflex-fuel (unleaded/natural gas):city.mpg",-5.64820037758696e-07
"423","Engine.Fuel.Typenatural gas:city.mpg",0,"Engine.Fuel.Typenatural gas:city.mpg",0
"424","Engine.Fuel.Typepremium unleaded (recommended):city.mpg",0,"Engine.Fuel.Typepremium unleaded (recommended):city.mpg",0
"425","Engine.Fuel.Typepremium unleaded (required):city.mpg",0,"Engine.Fuel.Typepremium unleaded (required):city.mpg",0
"426","Engine.Fuel.Typeregular unleaded:city.mpg",0,"Engine.Fuel.Typeregular unleaded:city.mpg",0
"427","Engine.Fuel.Typediesel:Popularity",0,"Engine.Fuel.Typediesel:Popularity",0
"428","Engine.Fuel.Typeelectric:Popularity",0,"Engine.Fuel.Typeelectric:Popularity",0
"429","Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Popularity",7.42638511639979e-06,"Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Popularity",7.42638511639979e-06
"430","Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Popularity",0,"Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Popularity",0
"431","Engine.Fuel.Typeflex-fuel (unleaded/E85):Popularity",-1.93329411690786e-06,"Engine.Fuel.Typeflex-fuel (unleaded/E85):Popularity",-1.93329411690786e-06
"432","Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Popularity",0,"Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Popularity",0
"433","Engine.Fuel.Typenatural gas:Popularity",0,"Engine.Fuel.Typenatural gas:Popularity",0
"434","Engine.Fuel.Typepremium unleaded (recommended):Popularity",-2.75096189818393e-06,"Engine.Fuel.Typepremium unleaded (recommended):Popularity",-2.75096189818393e-06
"435","Engine.Fuel.Typepremium unleaded (required):Popularity",2.13344770161164e-05,"Engine.Fuel.Typepremium unleaded (required):Popularity",2.13344770161164e-05
"436","Engine.Fuel.Typeregular unleaded:Popularity",0,"Engine.Fuel.Typeregular unleaded:Popularity",0
"437","Engine.Fuel.Typediesel:Engine.HP.Clean",0.000196871812138265,"Engine.Fuel.Typediesel:Engine.HP.Clean",0.000196871812138265
"438","Engine.Fuel.Typeelectric:Engine.HP.Clean",0,"Engine.Fuel.Typeelectric:Engine.HP.Clean",0
"439","Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Engine.HP.Clean",0.000702245577419961,"Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Engine.HP.Clean",0.000702245577419961
"440","Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Engine.HP.Clean",0,"Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Engine.HP.Clean",0
"441","Engine.Fuel.Typeflex-fuel (unleaded/E85):Engine.HP.Clean",0,"Engine.Fuel.Typeflex-fuel (unleaded/E85):Engine.HP.Clean",0
"442","Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Engine.HP.Clean",0,"Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Engine.HP.Clean",0
"443","Engine.Fuel.Typenatural gas:Engine.HP.Clean",0,"Engine.Fuel.Typenatural gas:Engine.HP.Clean",0
"444","Engine.Fuel.Typepremium unleaded (recommended):Engine.HP.Clean",0,"Engine.Fuel.Typepremium unleaded (recommended):Engine.HP.Clean",0
"445","Engine.Fuel.Typepremium unleaded (required):Engine.HP.Clean",0,"Engine.Fuel.Typepremium unleaded (required):Engine.HP.Clean",0
"446","Engine.Fuel.Typeregular unleaded:Engine.HP.Clean",0.000412488963336244,"Engine.Fuel.Typeregular unleaded:Engine.HP.Clean",0.000412488963336244
"447","Engine.Fuel.Typediesel:Engine.Cylinders.Clean4",0,"Engine.Fuel.Typediesel:Engine.Cylinders.Clean4",0
"448","Engine.Fuel.Typeelectric:Engine.Cylinders.Clean4",0,"Engine.Fuel.Typeelectric:Engine.Cylinders.Clean4",0
"449","Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Engine.Cylinders.Clean4",0,"Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Engine.Cylinders.Clean4",0
"450","Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Engine.Cylinders.Clean4",0,"Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Engine.Cylinders.Clean4",0
"451","Engine.Fuel.Typeflex-fuel (unleaded/E85):Engine.Cylinders.Clean4",0,"Engine.Fuel.Typeflex-fuel (unleaded/E85):Engine.Cylinders.Clean4",0
"452","Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Engine.Cylinders.Clean4",0,"Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Engine.Cylinders.Clean4",0
"453","Engine.Fuel.Typenatural gas:Engine.Cylinders.Clean4",0,"Engine.Fuel.Typenatural gas:Engine.Cylinders.Clean4",0
"454","Engine.Fuel.Typepremium unleaded (recommended):Engine.Cylinders.Clean4",0,"Engine.Fuel.Typepremium unleaded (recommended):Engine.Cylinders.Clean4",0
"455","Engine.Fuel.Typepremium unleaded (required):Engine.Cylinders.Clean4",-0.00139594640332233,"Engine.Fuel.Typepremium unleaded (required):Engine.Cylinders.Clean4",-0.00139594640332233
"456","Engine.Fuel.Typeregular unleaded:Engine.Cylinders.Clean4",-0.0322675135702945,"Engine.Fuel.Typeregular unleaded:Engine.Cylinders.Clean4",-0.0322675135702945
"457","Engine.Fuel.Typediesel:Engine.Cylinders.Clean5",0,"Engine.Fuel.Typediesel:Engine.Cylinders.Clean5",0
"458","Engine.Fuel.Typeelectric:Engine.Cylinders.Clean5",0,"Engine.Fuel.Typeelectric:Engine.Cylinders.Clean5",0
"459","Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Engine.Cylinders.Clean5",0,"Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Engine.Cylinders.Clean5",0
"460","Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Engine.Cylinders.Clean5",0,"Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Engine.Cylinders.Clean5",0
"461","Engine.Fuel.Typeflex-fuel (unleaded/E85):Engine.Cylinders.Clean5",0,"Engine.Fuel.Typeflex-fuel (unleaded/E85):Engine.Cylinders.Clean5",0
"462","Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Engine.Cylinders.Clean5",0,"Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Engine.Cylinders.Clean5",0
"463","Engine.Fuel.Typenatural gas:Engine.Cylinders.Clean5",0,"Engine.Fuel.Typenatural gas:Engine.Cylinders.Clean5",0
"464","Engine.Fuel.Typepremium unleaded (recommended):Engine.Cylinders.Clean5",0.00358885306302043,"Engine.Fuel.Typepremium unleaded (recommended):Engine.Cylinders.Clean5",0.00358885306302043
"465","Engine.Fuel.Typepremium unleaded (required):Engine.Cylinders.Clean5",0,"Engine.Fuel.Typepremium unleaded (required):Engine.Cylinders.Clean5",0
"466","Engine.Fuel.Typeregular unleaded:Engine.Cylinders.Clean5",-0.0215377737952152,"Engine.Fuel.Typeregular unleaded:Engine.Cylinders.Clean5",-0.0215377737952152
"467","Engine.Fuel.Typediesel:Engine.Cylinders.Clean6",0.178642072543373,"Engine.Fuel.Typediesel:Engine.Cylinders.Clean6",0.178642072543373
"468","Engine.Fuel.Typeelectric:Engine.Cylinders.Clean6",0,"Engine.Fuel.Typeelectric:Engine.Cylinders.Clean6",0
"469","Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Engine.Cylinders.Clean6",0,"Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Engine.Cylinders.Clean6",0
"470","Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Engine.Cylinders.Clean6",0.25302726916564,"Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Engine.Cylinders.Clean6",0.25302726916564
"471","Engine.Fuel.Typeflex-fuel (unleaded/E85):Engine.Cylinders.Clean6",-0.0146100546759594,"Engine.Fuel.Typeflex-fuel (unleaded/E85):Engine.Cylinders.Clean6",-0.0146100546759594
"472","Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Engine.Cylinders.Clean6",0,"Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Engine.Cylinders.Clean6",0
"473","Engine.Fuel.Typenatural gas:Engine.Cylinders.Clean6",0,"Engine.Fuel.Typenatural gas:Engine.Cylinders.Clean6",0
"474","Engine.Fuel.Typepremium unleaded (recommended):Engine.Cylinders.Clean6",6.51764172752574e-05,"Engine.Fuel.Typepremium unleaded (recommended):Engine.Cylinders.Clean6",6.51764172752574e-05
"475","Engine.Fuel.Typepremium unleaded (required):Engine.Cylinders.Clean6",0.119436877049161,"Engine.Fuel.Typepremium unleaded (required):Engine.Cylinders.Clean6",0.119436877049161
"476","Engine.Fuel.Typeregular unleaded:Engine.Cylinders.Clean6",0,"Engine.Fuel.Typeregular unleaded:Engine.Cylinders.Clean6",0
"477","Engine.Fuel.Typediesel:Engine.Cylinders.Clean8",0,"Engine.Fuel.Typediesel:Engine.Cylinders.Clean8",0
"478","Engine.Fuel.Typeelectric:Engine.Cylinders.Clean8",0,"Engine.Fuel.Typeelectric:Engine.Cylinders.Clean8",0
"479","Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Engine.Cylinders.Clean8",0.00229705050639758,"Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Engine.Cylinders.Clean8",0.00229705050639758
"480","Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Engine.Cylinders.Clean8",0,"Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Engine.Cylinders.Clean8",0
"481","Engine.Fuel.Typeflex-fuel (unleaded/E85):Engine.Cylinders.Clean8",0,"Engine.Fuel.Typeflex-fuel (unleaded/E85):Engine.Cylinders.Clean8",0
"482","Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Engine.Cylinders.Clean8",0,"Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Engine.Cylinders.Clean8",0
"483","Engine.Fuel.Typenatural gas:Engine.Cylinders.Clean8",0,"Engine.Fuel.Typenatural gas:Engine.Cylinders.Clean8",0
"484","Engine.Fuel.Typepremium unleaded (recommended):Engine.Cylinders.Clean8",-0.0172905852273501,"Engine.Fuel.Typepremium unleaded (recommended):Engine.Cylinders.Clean8",-0.0172905852273501
"485","Engine.Fuel.Typepremium unleaded (required):Engine.Cylinders.Clean8",0.0831140877066116,"Engine.Fuel.Typepremium unleaded (required):Engine.Cylinders.Clean8",0.0831140877066116
"486","Engine.Fuel.Typeregular unleaded:Engine.Cylinders.Clean8",0,"Engine.Fuel.Typeregular unleaded:Engine.Cylinders.Clean8",0
"487","Engine.Fuel.Typediesel:Engine.Cylinders.Clean10",0,"Engine.Fuel.Typediesel:Engine.Cylinders.Clean10",0
"488","Engine.Fuel.Typeelectric:Engine.Cylinders.Clean10",0,"Engine.Fuel.Typeelectric:Engine.Cylinders.Clean10",0
"489","Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Engine.Cylinders.Clean10",0,"Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Engine.Cylinders.Clean10",0
"490","Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Engine.Cylinders.Clean10",0,"Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Engine.Cylinders.Clean10",0
"491","Engine.Fuel.Typeflex-fuel (unleaded/E85):Engine.Cylinders.Clean10",0,"Engine.Fuel.Typeflex-fuel (unleaded/E85):Engine.Cylinders.Clean10",0
"492","Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Engine.Cylinders.Clean10",0,"Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Engine.Cylinders.Clean10",0
"493","Engine.Fuel.Typenatural gas:Engine.Cylinders.Clean10",0,"Engine.Fuel.Typenatural gas:Engine.Cylinders.Clean10",0
"494","Engine.Fuel.Typepremium unleaded (recommended):Engine.Cylinders.Clean10",0,"Engine.Fuel.Typepremium unleaded (recommended):Engine.Cylinders.Clean10",0
"495","Engine.Fuel.Typepremium unleaded (required):Engine.Cylinders.Clean10",0.00292683990635731,"Engine.Fuel.Typepremium unleaded (required):Engine.Cylinders.Clean10",0.00292683990635731
"496","Engine.Fuel.Typeregular unleaded:Engine.Cylinders.Clean10",0,"Engine.Fuel.Typeregular unleaded:Engine.Cylinders.Clean10",0
"497","Engine.Fuel.Typediesel:Engine.Cylinders.Clean12",0,"Engine.Fuel.Typediesel:Engine.Cylinders.Clean12",0
"498","Engine.Fuel.Typeelectric:Engine.Cylinders.Clean12",0,"Engine.Fuel.Typeelectric:Engine.Cylinders.Clean12",0
"499","Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Engine.Cylinders.Clean12",0,"Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Engine.Cylinders.Clean12",0
"500","Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Engine.Cylinders.Clean12",0,"Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Engine.Cylinders.Clean12",0
"501","Engine.Fuel.Typeflex-fuel (unleaded/E85):Engine.Cylinders.Clean12",0,"Engine.Fuel.Typeflex-fuel (unleaded/E85):Engine.Cylinders.Clean12",0
"502","Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Engine.Cylinders.Clean12",0,"Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Engine.Cylinders.Clean12",0
"503","Engine.Fuel.Typenatural gas:Engine.Cylinders.Clean12",0,"Engine.Fuel.Typenatural gas:Engine.Cylinders.Clean12",0
"504","Engine.Fuel.Typepremium unleaded (recommended):Engine.Cylinders.Clean12",0.0773201074139608,"Engine.Fuel.Typepremium unleaded (recommended):Engine.Cylinders.Clean12",0.0773201074139608
"505","Engine.Fuel.Typepremium unleaded (required):Engine.Cylinders.Clean12",0,"Engine.Fuel.Typepremium unleaded (required):Engine.Cylinders.Clean12",0
"506","Engine.Fuel.Typeregular unleaded:Engine.Cylinders.Clean12",0,"Engine.Fuel.Typeregular unleaded:Engine.Cylinders.Clean12",0
"507","Engine.Fuel.Typediesel:Engine.Cylinders.Clean16",0,"Engine.Fuel.Typediesel:Engine.Cylinders.Clean16",0
"508","Engine.Fuel.Typeelectric:Engine.Cylinders.Clean16",0,"Engine.Fuel.Typeelectric:Engine.Cylinders.Clean16",0
"509","Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Engine.Cylinders.Clean16",0,"Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Engine.Cylinders.Clean16",0
"510","Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Engine.Cylinders.Clean16",0,"Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Engine.Cylinders.Clean16",0
"511","Engine.Fuel.Typeflex-fuel (unleaded/E85):Engine.Cylinders.Clean16",0,"Engine.Fuel.Typeflex-fuel (unleaded/E85):Engine.Cylinders.Clean16",0
"512","Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Engine.Cylinders.Clean16",0,"Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Engine.Cylinders.Clean16",0
"513","Engine.Fuel.Typenatural gas:Engine.Cylinders.Clean16",0,"Engine.Fuel.Typenatural gas:Engine.Cylinders.Clean16",0
"514","Engine.Fuel.Typepremium unleaded (recommended):Engine.Cylinders.Clean16",0,"Engine.Fuel.Typepremium unleaded (recommended):Engine.Cylinders.Clean16",0
"515","Engine.Fuel.Typepremium unleaded (required):Engine.Cylinders.Clean16",0,"Engine.Fuel.Typepremium unleaded (required):Engine.Cylinders.Clean16",0
"516","Engine.Fuel.Typeregular unleaded:Engine.Cylinders.Clean16",0,"Engine.Fuel.Typeregular unleaded:Engine.Cylinders.Clean16",0
"517","Engine.Fuel.Typediesel:NumDoors.Clean3",0,"Engine.Fuel.Typediesel:NumDoors.Clean3",0
"518","Engine.Fuel.Typeelectric:NumDoors.Clean3",0,"Engine.Fuel.Typeelectric:NumDoors.Clean3",0
"519","Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):NumDoors.Clean3",0,"Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):NumDoors.Clean3",0
"520","Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):NumDoors.Clean3",0,"Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):NumDoors.Clean3",0
"521","Engine.Fuel.Typeflex-fuel (unleaded/E85):NumDoors.Clean3",0,"Engine.Fuel.Typeflex-fuel (unleaded/E85):NumDoors.Clean3",0
"522","Engine.Fuel.Typeflex-fuel (unleaded/natural gas):NumDoors.Clean3",0,"Engine.Fuel.Typeflex-fuel (unleaded/natural gas):NumDoors.Clean3",0
"523","Engine.Fuel.Typenatural gas:NumDoors.Clean3",0,"Engine.Fuel.Typenatural gas:NumDoors.Clean3",0
"524","Engine.Fuel.Typepremium unleaded (recommended):NumDoors.Clean3",0,"Engine.Fuel.Typepremium unleaded (recommended):NumDoors.Clean3",0
"525","Engine.Fuel.Typepremium unleaded (required):NumDoors.Clean3",0,"Engine.Fuel.Typepremium unleaded (required):NumDoors.Clean3",0
"526","Engine.Fuel.Typeregular unleaded:NumDoors.Clean3",-0.00259354342714106,"Engine.Fuel.Typeregular unleaded:NumDoors.Clean3",-0.00259354342714106
"527","Engine.Fuel.Typediesel:NumDoors.Clean4",0.114092133869524,"Engine.Fuel.Typediesel:NumDoors.Clean4",0.114092133869524
"528","Engine.Fuel.Typeelectric:NumDoors.Clean4",0,"Engine.Fuel.Typeelectric:NumDoors.Clean4",0
"529","Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):NumDoors.Clean4",0,"Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):NumDoors.Clean4",0
"530","Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):NumDoors.Clean4",0,"Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):NumDoors.Clean4",0
"531","Engine.Fuel.Typeflex-fuel (unleaded/E85):NumDoors.Clean4",0,"Engine.Fuel.Typeflex-fuel (unleaded/E85):NumDoors.Clean4",0
"532","Engine.Fuel.Typeflex-fuel (unleaded/natural gas):NumDoors.Clean4",0,"Engine.Fuel.Typeflex-fuel (unleaded/natural gas):NumDoors.Clean4",0
"533","Engine.Fuel.Typenatural gas:NumDoors.Clean4",0,"Engine.Fuel.Typenatural gas:NumDoors.Clean4",0
"534","Engine.Fuel.Typepremium unleaded (recommended):NumDoors.Clean4",0.0426193851424315,"Engine.Fuel.Typepremium unleaded (recommended):NumDoors.Clean4",0.0426193851424315
"535","Engine.Fuel.Typepremium unleaded (required):NumDoors.Clean4",0,"Engine.Fuel.Typepremium unleaded (required):NumDoors.Clean4",0
"536","Engine.Fuel.Typeregular unleaded:NumDoors.Clean4",-0.0127191556895708,"Engine.Fuel.Typeregular unleaded:NumDoors.Clean4",-0.0127191556895708
"537","Transmission.TypeAUTOMATIC:Driven_Wheelsfour wheel drive",0,"Transmission.TypeAUTOMATIC:Driven_Wheelsfour wheel drive",0
"538","Transmission.TypeDIRECT_DRIVE:Driven_Wheelsfour wheel drive",0,"Transmission.TypeDIRECT_DRIVE:Driven_Wheelsfour wheel drive",0
"539","Transmission.TypeMANUAL:Driven_Wheelsfour wheel drive",0,"Transmission.TypeMANUAL:Driven_Wheelsfour wheel drive",0
"540","Transmission.TypeUNKNOWN:Driven_Wheelsfour wheel drive",0,"Transmission.TypeUNKNOWN:Driven_Wheelsfour wheel drive",0
